action_code,employee_nbr,input_device,msg_sequence,personalid,text,event_type,dep_sta,dup_dep_sta_num,flt_num,flt_org_date,iata,icao,arr,dup_arr_sta_num,sta,std,date_time,assignedtail,fos_partition,ltd,lta,assigned_equip_type,ac_reg_num,leg_status,dep_status,arr_status,yyyymm
GG,720483,CA9710,17,HDQ-AAW,GG 3206/17 ORD D  GG7,FLIGHTLOG,ORD,0,3206,2015-01-17 00:00:00,MQ,ENY,GRR,0,2015-01-17 16:10:00,2015-01-17 15:25:00,2015-01-17 11:29:57.449000000,514,MQ,2015-01-17 15:25:00,2015-01-17 16:10:00,CR7R,N514AE, ,S,S,201501
GI3206,000000,000000,16,-,GI3206PLANR*ORD17JAN,FLIGHTLOG,ORD,0,3206,2015-01-17 00:00:00,MQ,ENY,GRR,0,2015-01-17 16:10:00,2015-01-17 15:25:00,2015-01-17 11:28:18.055000000,514,MQ,2015-01-17 15:25:00,2015-01-17 16:10:00,CR7R,N514AE, ,S,S,201501
RN3201,728538,13B23D,45,HDQ-AQG,RN3201 18JAN 2005 ORD  514,FLIGHTLOG,ORD,0,3201,2015-01-18 00:00:00,MQ,ENY,BNA,0,2015-01-19 03:30:00,2015-01-19 02:05:00,2015-01-17 11:19:30.379000000,514,MQ,2015-01-19 02:05:00,2015-01-19 03:30:00,CR7R,N514AE, ,S,S,201501
AN3201,728538,13B23D,44,HDQ-AQG,AN3201 18JAN 0000 ORD  514,FLIGHTLOG,ORD,0,3201,2015-01-18 00:00:00,MQ,ENY,BNA,0,2015-01-19 03:30:00,2015-01-19 02:05:00,2015-01-17 11:19:30.202000000,514,MQ,2015-01-19 02:05:00,2015-01-19 03:30:00,CR7R,N514AE, ,S,S,201501
RN2968,728538,13B23D,28,HDQ-AQG,RN2968 18JAN 1600 STL  514,FLIGHTLOG,STL,0,2968,2015-01-18 00:00:00,MQ,ENY,ORD,0,2015-01-18 23:35:00,2015-01-18 22:00:00,2015-01-17 11:19:30.165000000,514,MQ,2015-01-18 22:00:00,2015-01-18 23:35:00,CR7R,N514AE, ,S,S,201501
AN3201,728538,13B23D,43,HDQ-AQG,AN3201 18JAN 0000 ORD  514,FLIGHTLOG,ORD,0,3201,2015-01-18 00:00:00,MQ,ENY,BNA,0,2015-01-19 03:30:00,2015-01-19 02:05:00,2015-01-17 11:19:30.100000000,514,MQ,2015-01-19 02:05:00,2015-01-19 03:30:00,CR7R,N514AE, ,S,S,201501
AN2968,728538,13B23D,27,HDQ-AQG,AN2968 18JAN 0000 STL  514,FLIGHTLOG,STL,0,2968,2015-01-18 00:00:00,MQ,ENY,ORD,0,2015-01-18 23:35:00,2015-01-18 22:00:00,2015-01-17 11:19:30.070000000,514,MQ,2015-01-18 22:00:00,2015-01-18 23:35:00,CR7R,N514AE, ,S,S,201501
AN2968,728538,13B23D,23,HDQ-AQG,AN2968 18JAN 0000 ORD  514,FLIGHTLOG,ORD,0,2968,2015-01-18 00:00:00,MQ,ENY,STL,0,2015-01-18 21:18:00,2015-01-18 20:05:00,2015-01-17 11:19:30.024000000,514,MQ,2015-01-18 20:05:00,2015-01-18 21:18:00,CR7R,N514AE, ,S,S,201501
AN3201,728538,13B23D,42,HDQ-AQG,AN3201 18JAN 0000 ORD  514,FLIGHTLOG,ORD,0,3201,2015-01-18 00:00:00,MQ,ENY,BNA,0,2015-01-19 03:30:00,2015-01-19 02:05:00,2015-01-17 11:19:30.002000000,514,MQ,2015-01-19 02:05:00,2015-01-19 03:30:00,CR7R,N514AE, ,S,S,201501
RN3269,728538,13B23D,20,HDQ-AQG,RN3269 18JAN 1050 BNA  514,FLIGHTLOG,BNA,0,3269,2015-01-18 00:00:00,MQ,ENY,ORD,0,2015-01-18 18:29:00,2015-01-18 16:50:00,2015-01-17 11:19:29.981000000,514,MQ,2015-01-18 16:50:00,2015-01-18 18:29:00,CR7R,N514AE, ,S,S,201501
